Amazon.com Gift Card in a Birthday Pop-Up Box	https://amzn.to/4oAG05c	81I--eZ9rYL._SL1500_
Amazon.com Gift Card in a Mini Envelope (Christmas)	https://amzn.to/49YPofy	71rjBVlWifL._SL1291_
Chanel: Collections and Creations	https://amzn.to/3XyTVOr	81atzgwMteL._SL1500_
Echo Dot with Legrand Radiant Smart Plug	https://amzn.to/4iF8c5z	819IlnMybQL._AC_SL1500_
Kate Blanc Cosmetics Castor Oil Organic for Hair, Lashes, Face	https://amzn.to/3KEcQV3	61ykezZRbWL._SL1500_
Roku Streaming Stick 4K - HDR & Dolby Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV	https://amzn.to/4iC90rY	81xr+BrYBwL._AC_SL1500_
Apple AirPods Pro (2nd generation) with MagSafe Charging Case (USB-C) (Renewed)	https://amzn.to/4oE0yKq	61SUj2aKoEL._AC_SL1500_
Amazon Kindle Paperwhite 16GB (newest model) – Our fastest Kindle ever, with new 7' glare-free display, and weeks of battery life – Without lockscreen ads – Black	https://amzn.to/3MhpM3K	61SUj2aKoEL._AC_SL1500_
UGREEN Power Bank 25,000mAh 145W Laptop Portable Charger, Nexode 3-Port USB C PD Battery Pack, for MacBook Pro/Air, Dell XPS, iPhone 17/16/15/14, Galaxy S24, Steam Deck, iPad, and More	https://amzn.to/3KfffWd	61L-mHU13oL._AC_SL1500_
Crock-Pot MultiMeal Multicooker and Programmable Slow Cooker with Bake Function Oat Milk	https://amzn.to/49T7T4Z	713RrL7s7BL._AC_SL1500_
Ninja | Air Fryer | 4 QT Capacity | 4-in1 Roast, Crisp, Roast, Reheats, & Dehydrates | Dishwasher Safe Parts | Includes 20 Easy & Healthy Recipes | Compact | Grey | AF101	https://amzn.to/4rFsKyY	71+8uTMDRFL._AC_SL1500_
Lubriderm Value-Size Daily Moisture Lotion + Pro-Ceramide with Shea Butter & Glycerin Moisturizes Dry Skin, Hydrating Face, Hand & Body Lotion is Lightly Scented & Non-Greasy, 32 fl. oz	https://amzn.to/3Mco6bP	61n22IDXVWL._SL1500_
The Ordinary Skin Support Basics Duo - Skin Care Bundle Set For All Skin Types- Hyaluronic Acid 2% + B5 1 Fl Oz, Niacinamide 10% + Zinc 1% 1 Fl Oz	https://amzn.to/49ULCUt	71R30DHRa9L._SX522_
Hanes Mens Ecosmart Hooded Sweatshirt, 5XL, Athletic Purple	https://amzn.to/44IqqNT	51iorsfBmLL._AC_SX679_
